id,path,label_id,label_name
0,n02112706_2155,n02112706,Brabancon griffon
1,n02095889_4725,n02095889,"Sealyham terrier, Sealyham"
2,n03017168_1021,n03017168,"chime, bell, gong"
3,n06359193_63184,n06359193,"web site, website, internet site, site"
4,n01914609_5018,n01914609,"sea anemone, anemone"
5,n04485082_4720,n04485082,tripod
6,n02259212_10007,n02259212,leafhopper
7,n02892201_1649,n02892201,"brass, memorial tablet, plaque"
8,n02398521_30451,n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius"
9,n02281787_3314,n02281787,"lycaenid, lycaenid butterfly"
10,n03930313_18749,n03930313,"picket fence, paling"
11,n01914609_1397,n01914609,"sea anemone, anemone"
12,n02795169_19938,n02795169,"barrel, cask"
13,n01665541_44044,n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
14,n02391049_6359,n02391049,zebra
15,n02108089_4323,n02108089,boxer
16,n07754684_8050,n07754684,"jackfruit, jak, jack"
17,n03977966_25613,n03977966,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria"
18,n07697537_34124,n07697537,"hotdog, hot dog, red hot"
19,n02056570_8411,n02056570,"king penguin, Aptenodytes patagonica"
20,n02259212_3305,n02259212,leafhopper
21,n03733131_3923,n03733131,maypole
22,n04532670_7251,n04532670,viaduct
23,n04592741_3295,n04592741,wing
24,n03976467_9176,n03976467,"Polaroid camera, Polaroid Land camera"
25,n04371430_13126,n04371430,"swimming trunks, bathing trunks"
26,n02108551_7851,n02108551,Tibetan mastiff
27,n09288635_2814,n09288635,geyser
28,n02013706_2647,n02013706,"limpkin, Aramus pictus"
29,n10148035_7385,n10148035,"groom, bridegroom"
30,n02085620_8761,n02085620,Chihuahua
31,n02412080_216,n02412080,"ram, tup"
32,n01833805_3708,n01833805,hummingbird
33,n03207743_3576,n03207743,"dishrag, dishcloth"
34,n04409515_21724,n04409515,tennis ball
35,n04118776_46440,n04118776,"rule, ruler"
36,n01608432_1801,n01608432,kite
37,n03724870_11157,n03724870,mask
38,n03944341_7690,n03944341,pinwheel
39,n02107312_6375,n02107312,miniature pinscher
40,n03187595_9495,n03187595,"dial telephone, dial phone"
41,n02085620_8788,n02085620,Chihuahua
42,n03837869_6561,n03837869,obelisk
43,n04254777_10710,n04254777,sock
44,n02930766_27714,n02930766,"cab, hack, taxi, taxicab"
45,n02692877_13725,n02692877,"airship, dirigible"
46,n03584829_34944,n03584829,"iron, smoothing iron"
47,n03887697_6912,n03887697,paper towel
48,n03314780_8558,n03314780,face powder
49,n02500267_2064,n02500267,"indri, indris, Indri indri, Indri brevicaudatus"
50,n01883070_8105,n01883070,wombat
51,n04201297_13,n04201297,shoji
52,n02794156_12231,n02794156,barometer
53,n04347754_34325,n04347754,"submarine, pigboat, sub, U-boat"
54,n03447447_2631,n03447447,gondola
55,n01784675_2224,n01784675,centipede
56,n04435653_674,n04435653,tile roof
57,n02978881_9165,n02978881,cassette
58,n02966193_77166,n02966193,"carousel, carrousel, merry-go-round, roundabout, whirligig"
59,n01518878_19192,n01518878,"ostrich, Struthio camelus"
60,n02666196_18380,n02666196,abacus
61,n07754684_25714,n07754684,"jackfruit, jak, jack"
62,n02894605_29461,n02894605,"breakwater, groin, groyne, mole, bulwark, seawall, jetty"
63,n02606052_5748,n02606052,"rock beauty, Holocanthus tricolor"
64,n07615774_17764,n07615774,"ice lolly, lolly, lollipop, popsicle"
65,n03937543_6119,n03937543,pill bottle
66,n04120489_517,n04120489,running shoe
67,n03584254_4877,n03584254,iPod
68,n02281406_5517,n02281406,"sulphur butterfly, sulfur butterfly"
69,n04350905_38104,n04350905,"suit, suit of clothes"
70,n03018349_5674,n03018349,"china cabinet, china closet"
71,n03920288_1698,n03920288,Petri dish
72,n04204347_11091,n04204347,shopping cart
73,n01440764_9939,n01440764,"tench, Tinca tinca"
74,n02841315_13143,n02841315,"binoculars, field glasses, opera glasses"
75,n03633091_13978,n03633091,ladle
76,n01632777_10077,n01632777,"axolotl, mud puppy, Ambystoma mexicanum"
77,n01768244_3976,n01768244,trilobite
78,n02814860_35331,n02814860,"beacon, lighthouse, beacon light, pharos"
79,n02108422_1016,n02108422,bull mastiff
80,n02877765_8761,n02877765,bottlecap
81,n04509417_4801,n04509417,"unicycle, monocycle"
82,n09288635_13114,n09288635,geyser
83,n02281787_3834,n02281787,"lycaenid, lycaenid butterfly"
84,n02321529_7863,n02321529,"sea cucumber, holothurian"
85,n01622779_1025,n01622779,"great grey owl, great gray owl, Strix nebulosa"
86,n03944341_8038,n03944341,pinwheel
87,n02277742_6025,n02277742,"ringlet, ringlet butterfly"
88,n02108089_36531,n02108089,boxer
89,n03467068_16543,n03467068,guillotine
90,n03903868_17481,n03903868,"pedestal, plinth, footstall"
91,n01622779_5348,n01622779,"great grey owl, great gray owl, Strix nebulosa"
92,n03657121_6615,n03657121,"lens cap, lens cover"
93,n02112137_16044,n02112137,"chow, chow chow"
94,n03895866_25281,n03895866,"passenger car, coach, carriage"
95,n07248320_9714,n07248320,"book jacket, dust cover, dust jacket, dust wrapper"
96,n03888257_18052,n03888257,"parachute, chute"
97,n03908714_3227,n03908714,pencil sharpener
98,n02799071_2005,n02799071,baseball
99,n03793489_6598,n03793489,"mouse, computer mouse"
100,n02236044_16748,n02236044,"mantis, mantid"
101,n04149813_22261,n04149813,scoreboard
102,n02018795_544,n02018795,bustard
103,n03584254_1554,n03584254,iPod
104,n04209133_7792,n04209133,shower cap
105,n02074367_8417,n02074367,"dugong, Dugong dugon"
106,n03884397_542,n03884397,"panpipe, pandean pipe, syrinx"
107,n04485082_1124,n04485082,tripod
108,n03785016_11487,n03785016,moped
109,n04550184_5921,n04550184,"wardrobe, closet, press"
110,n02786058_4911,n02786058,Band Aid
111,n02099712_7142,n02099712,Labrador retriever
112,n07880968_2003,n07880968,burrito
113,n07760859_100,n07760859,custard apple
114,n02011460_9253,n02011460,bittern
115,n03733805_11309,n03733805,measuring cup
116,n03841143_18128,n03841143,"odometer, hodometer, mileometer, milometer"
117,n02877765_16335,n02877765,bottlecap
118,n03942813_7080,n03942813,ping-pong ball
119,n04136333_15216,n04136333,sarong
120,n03544143_19167,n03544143,hourglass
121,n02095314_1969,n02095314,wire-haired fox terrier
122,n02134084_7234,n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
123,n04099969_15488,n04099969,"rocking chair, rocker"
124,n01632777_14246,n01632777,"axolotl, mud puppy, Ambystoma mexicanum"
125,n03000134_1514,n03000134,chainlink fence
126,n04584207_19076,n04584207,wig
127,n03018349_5568,n03018349,"china cabinet, china closet"
128,n02794156_7979,n02794156,barometer
129,n04536866_2616,n04536866,"violin, fiddle"
130,n04005630_174,n04005630,"prison, prison house"
131,n01692333_6328,n01692333,"Gila monster, Heloderma suspectum"
132,n04523525_7180,n04523525,vault
133,n04584207_4877,n04584207,wig
134,n01632777_23275,n01632777,"axolotl, mud puppy, Ambystoma mexicanum"
135,n04251144_5949,n04251144,snorkel
136,n03814906_27050,n03814906,necklace
137,n02100735_4811,n02100735,English setter
138,n01943899_7898,n01943899,conch
139,n02165456_20173,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle"
140,n03759954_18007,n03759954,"microphone, mike"
141,n01498041_4685,n01498041,stingray
142,n02090622_3156,n02090622,"borzoi, Russian wolfhound"
143,n03425413_11085,n03425413,"gas pump, gasoline pump, petrol pump, island dispenser"
144,n02071294_26301,n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
145,n04152593_22742,n04152593,"screen, CRT screen"
146,n02033041_3724,n02033041,dowitcher
147,n04613696_12216,n04613696,yurt
148,n04099969_2430,n04099969,"rocking chair, rocker"
149,n01924916_6618,n01924916,"flatworm, platyhelminth"
150,n03532672_35590,n03532672,"hook, claw"
151,n04606251_2920,n04606251,wreck
152,n01768244_6634,n01768244,trilobite
153,n03673027_18236,n03673027,"liner, ocean liner"
154,n02071294_2330,n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
155,n03450230_6989,n03450230,gown
156,n02108422_11432,n02108422,bull mastiff
157,n01630670_1091,n01630670,"common newt, Triturus vulgaris"
158,n09256479_2914,n09256479,coral reef
159,n07754684_793,n07754684,"jackfruit, jak, jack"
160,n07718472_11677,n07718472,"cucumber, cuke"
161,n03884397_7432,n03884397,"panpipe, pandean pipe, syrinx"
162,n03042490_1940,n03042490,cliff dwelling
163,n03032252_22976,n03032252,"cinema, movie theater, movie theatre, movie house, picture palace"
164,n07697537_28850,n07697537,"hotdog, hot dog, red hot"
165,n04067472_16372,n04067472,reel
166,n03394916_59745,n03394916,"French horn, horn"
167,n01601694_594,n01601694,"water ouzel, dipper"
168,n03761084_10604,n03761084,"microwave, microwave oven"
169,n02277742_42890,n02277742,"ringlet, ringlet butterfly"
170,n04332243_12980,n04332243,strainer
171,n03028079_198,n03028079,"church, church building"
172,n01622779_4451,n01622779,"great grey owl, great gray owl, Strix nebulosa"
173,n02835271_3035,n02835271,"bicycle-built-for-two, tandem bicycle, tandem"
174,n02280649_7418,n02280649,cabbage butterfly
175,n01768244_8171,n01768244,trilobite
176,n01945685_21824,n01945685,slug
177,n09288635_1303,n09288635,geyser
178,n03792972_1525,n03792972,mountain tent
179,n01914609_5668,n01914609,"sea anemone, anemone"
180,n02105505_4248,n02105505,komondor
181,n09288635_11181,n09288635,geyser
182,n03888257_4738,n03888257,"parachute, chute"
183,n02007558_9150,n02007558,flamingo
184,n03535780_27761,n03535780,"horizontal bar, high bar"
185,n03743016_14439,n03743016,"megalith, megalithic structure"
186,n03929855_6616,n03929855,pickelhaube
187,n02701002_14122,n02701002,ambulance
188,n02094258_2380,n02094258,Norwich terrier
189,n04252225_6054,n04252225,"snowplow, snowplough"
190,n03770679_14923,n03770679,minivan
191,n01608432_9255,n01608432,kite
192,n02397096_2577,n02397096,warthog
193,n02134418_1516,n02134418,"sloth bear, Melursus ursinus, Ursus ursinus"
194,n01751748_1957,n01751748,sea snake
195,n02966687_11559,n02966687,"carpenter's kit, tool kit"
196,n03777568_7845,n03777568,Model T
197,n01601694_12774,n01601694,"water ouzel, dipper"
198,n02231487_10226,n02231487,"walking stick, walkingstick, stick insect"
199,n03876231_6184,n03876231,paintbrush
200,n01820546_696,n01820546,lorikeet
201,n02799071_27940,n02799071,baseball
202,n04370456_3900,n04370456,sweatshirt
203,n03127925_21787,n03127925,crate
204,n04200800_15959,n04200800,"shoe shop, shoe-shop, shoe store"
205,n04238763_5298,n04238763,"slide rule, slipstick"
206,n02104029_8280,n02104029,kuvasz
207,n02074367_1338,n02074367,"dugong, Dugong dugon"
208,n03729826_35212,n03729826,matchstick
209,n03016953_14929,n03016953,"chiffonier, commode"
210,n01820546_3508,n01820546,lorikeet
211,n04501370_17287,n04501370,turnstile
212,n03837869_7110,n03837869,obelisk
213,n02692877_28135,n02692877,"airship, dirigible"
214,n03937543_1363,n03937543,pill bottle
215,n03717622_8617,n03717622,manhole cover
216,n12985857_2558,n12985857,coral fungus
217,n03759954_12981,n03759954,"microphone, mike"
218,n01644900_5991,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
219,n03447447_11970,n03447447,gondola
220,n07248320_7722,n07248320,"book jacket, dust cover, dust jacket, dust wrapper"
221,n01806567_7113,n01806567,quail
222,n01622779_2313,n01622779,"great grey owl, great gray owl, Strix nebulosa"
223,n04229816_2962,n04229816,ski mask
224,n03393912_6099,n03393912,freight car
225,n03457902_39745,n03457902,"greenhouse, nursery, glasshouse"
226,n03920288_1811,n03920288,Petri dish
227,n03924679_11230,n03924679,photocopier
228,n03345487_1881,n03345487,"fire engine, fire truck"
229,n03445924_16051,n03445924,"golfcart, golf cart"
230,n02342885_13212,n02342885,hamster
231,n03424325_5336,n03424325,"gasmask, respirator, gas helmet"
232,n03063689_15369,n03063689,coffeepot
233,n03047690_15613,n03047690,"clog, geta, patten, sabot"
234,n02108089_18498,n02108089,boxer
235,n01855672_846,n01855672,goose
236,n01847000_15823,n01847000,drake
237,n02281406_4825,n02281406,"sulphur butterfly, sulfur butterfly"
238,n02007558_13060,n02007558,flamingo
239,n03874293_18741,n03874293,"paddlewheel, paddle wheel"
240,n02101556_577,n02101556,"clumber, clumber spaniel"
241,n04310018_8465,n04310018,steam locomotive
242,n03777568_8594,n03777568,Model T
243,n03445924_5084,n03445924,"golfcart, golf cart"
244,n02457408_11209,n02457408,"three-toed sloth, ai, Bradypus tridactylus"
245,n03777568_9296,n03777568,Model T
246,n02090379_3152,n02090379,redbone
247,n03444034_1437,n03444034,go-kart
248,n02011460_4260,n02011460,bittern
249,n02120079_3834,n02120079,"Arctic fox, white fox, Alopex lagopus"
250,n02105056_3896,n02105056,groenendael
251,n03347037_1564,n03347037,"fire screen, fireguard"
252,n02092339_7656,n02092339,Weimaraner
253,n02009912_13725,n02009912,"American egret, great white heron, Egretta albus"
254,n02112137_4042,n02112137,"chow, chow chow"
255,n02114548_2817,n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum"
256,n04399382_33455,n04399382,"teddy, teddy bear"
257,n03673027_49746,n03673027,"liner, ocean liner"
258,n01443537_15686,n01443537,"goldfish, Carassius auratus"
259,n01968897_739,n01968897,"chambered nautilus, pearly nautilus, nautilus"
260,n02105641_764,n02105641,"Old English sheepdog, bobtail"
261,n04367480_20454,n04367480,"swab, swob, mop"
262,n03127925_14733,n03127925,crate
263,n03344393_8626,n03344393,fireboat
264,n03388549_7810,n03388549,four-poster
265,n07860988_19740,n07860988,dough
266,n09256479_277,n09256479,coral reef
267,n04099969_2708,n04099969,"rocking chair, rocker"
268,n03187595_313,n03187595,"dial telephone, dial phone"
269,n04251144_3425,n04251144,snorkel
270,n02105505_2539,n02105505,komondor
271,n02116738_3443,n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"
272,n04515003_29314,n04515003,"upright, upright piano"
273,n04456115_6570,n04456115,torch
274,n04532106_1205,n04532106,vestment
275,n03445924_4279,n03445924,"golfcart, golf cart"
276,n04026417_17479,n04026417,purse
277,n03871628_10344,n03871628,packet
278,n03445924_4196,n03445924,"golfcart, golf cart"
279,n03223299_4303,n03223299,"doormat, welcome mat"
280,n02111277_3846,n02111277,"Newfoundland, Newfoundland dog"
281,n07684084_5055,n07684084,French loaf
282,n03733281_11407,n03733281,"maze, labyrinth"
283,n04238763_6596,n04238763,"slide rule, slipstick"
284,n04238763_1508,n04238763,"slide rule, slipstick"
285,n03770679_19581,n03770679,minivan
286,n03786901_12801,n03786901,mortar
287,n02834397_6045,n02834397,bib
288,n02088094_446,n02088094,"Afghan hound, Afghan"
289,n04592741_17399,n04592741,wing
290,n03372029_58347,n03372029,"flute, transverse flute"
291,n03404251_9888,n03404251,fur coat
292,n02112018_14504,n02112018,Pomeranian
293,n02483362_10523,n02483362,"gibbon, Hylobates lar"
294,n07565083_1664,n07565083,menu
295,n03594945_5843,n03594945,"jeep, landrover"
296,n01443537_2228,n01443537,"goldfish, Carassius auratus"
297,n03494278_38216,n03494278,"harmonica, mouth organ, harp, mouth harp"
298,n02797295_13958,n02797295,"barrow, garden cart, lawn cart, wheelbarrow"
299,n03998194_10427,n03998194,"prayer rug, prayer mat"
300,n04554684_51446,n04554684,"washer, automatic washer, washing machine"
301,n02033041_1958,n02033041,dowitcher
302,n01592084_6589,n01592084,chickadee
303,n02086079_17015,n02086079,"Pekinese, Pekingese, Peke"
304,n02268443_21914,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
305,n02007558_2074,n02007558,flamingo
306,n02091831_3797,n02091831,"Saluki, gazelle hound"
307,n01843383_1179,n01843383,toucan
308,n03786901_9051,n03786901,mortar
309,n02892201_5769,n02892201,"brass, memorial tablet, plaque"
310,n03062245_12384,n03062245,cocktail shaker
311,n03425413_21167,n03425413,"gas pump, gasoline pump, petrol pump, island dispenser"
312,n03891332_4417,n03891332,parking meter
313,n07697537_31315,n07697537,"hotdog, hot dog, red hot"
314,n02115913_10149,n02115913,"dhole, Cuon alpinus"
315,n02281406_3971,n02281406,"sulphur butterfly, sulfur butterfly"
316,n04409515_6366,n04409515,tennis ball
317,n09229709_284,n09229709,bubble
318,n04033995_81,n04033995,"quilt, comforter, comfort, puff"
319,n03337140_2832,n03337140,"file, file cabinet, filing cabinet"
320,n04252225_10762,n04252225,"snowplow, snowplough"
321,n01945685_3889,n01945685,slug
322,n01689811_3404,n01689811,alligator lizard
323,n02917067_13624,n02917067,"bullet train, bullet"
324,n03992509_6183,n03992509,potter's wheel
325,n07711569_8697,n07711569,mashed potato
326,n07697537_25380,n07697537,"hotdog, hot dog, red hot"
327,n02085782_1552,n02085782,Japanese spaniel
328,n01632777_12637,n01632777,"axolotl, mud puppy, Ambystoma mexicanum"
329,n02138441_430,n02138441,"meerkat, mierkat"
330,n02965783_8890,n02965783,car mirror
331,n02264363_7288,n02264363,"lacewing, lacewing fly"
332,n03018349_21537,n03018349,"china cabinet, china closet"
333,n09229709_19802,n09229709,bubble
334,n02807133_9875,n02807133,"bathing cap, swimming cap"
335,n03775071_5157,n03775071,mitten
336,n02087046_2744,n02087046,toy terrier
337,n04254777_52029,n04254777,sock
338,n02114548_6235,n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum"
339,n02281787_4347,n02281787,"lycaenid, lycaenid butterfly"
340,n02793495_15151,n02793495,barn
341,n04209133_142,n04209133,shower cap
342,n07760859_461,n07760859,custard apple
343,n01748264_7912,n01748264,"Indian cobra, Naja naja"
344,n02117135_11349,n02117135,"hyena, hyaena"
345,n03976467_16880,n03976467,"Polaroid camera, Polaroid Land camera"
346,n03042490_10745,n03042490,cliff dwelling
347,n03196217_6825,n03196217,digital clock
348,n02965783_3832,n02965783,car mirror
349,n07615774_4283,n07615774,"ice lolly, lolly, lollipop, popsicle"
350,n01694178_5472,n01694178,"African chameleon, Chamaeleo chamaeleon"
351,n01776313_21095,n01776313,tick
352,n04335435_20093,n04335435,"streetcar, tram, tramcar, trolley, trolley car"
353,n02134084_11187,n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
354,n02086910_1707,n02086910,papillon
355,n02782093_5294,n02782093,balloon
356,n02607072_4036,n02607072,anemone fish
357,n02102480_13985,n02102480,Sussex spaniel
358,n03661043_3603,n03661043,library
359,n01534433_9746,n01534433,"junco, snowbird"
360,n02917067_11786,n02917067,"bullet train, bullet"
361,n02102973_5501,n02102973,Irish water spaniel
362,n01498041_11932,n01498041,stingray
363,n02110806_5744,n02110806,basenji
364,n03255030_10340,n03255030,dumbbell
365,n02879718_4345,n02879718,bow
366,n01601694_11962,n01601694,"water ouzel, dipper"
367,n03903868_13350,n03903868,"pedestal, plinth, footstall"
368,n04562935_11650,n04562935,water tower
369,n02130308_15410,n02130308,"cheetah, chetah, Acinonyx jubatus"
370,n04149813_9458,n04149813,scoreboard
371,n03445777_8820,n03445777,golf ball
372,n02799071_7126,n02799071,baseball
373,n04086273_15905,n04086273,"revolver, six-gun, six-shooter"
374,n02088364_8109,n02088364,beagle
375,n01560419_2267,n01560419,bulbul
376,n03598930_5611,n03598930,jigsaw puzzle
377,n03483316_42098,n03483316,"hand blower, blow dryer, blow drier, hair dryer, hair drier"
378,n02033041_2001,n02033041,dowitcher
379,n02172182_5449,n02172182,dung beetle
380,n02280649_5757,n02280649,cabbage butterfly
381,n03929855_2193,n03929855,pickelhaube
382,n02012849_5956,n02012849,crane
383,n03670208_39061,n03670208,"limousine, limo"
384,n02123597_14647,n02123597,"Siamese cat, Siamese"
385,n09246464_20509,n09246464,"cliff, drop, drop-off"
386,n01981276_6534,n01981276,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica"
387,n02106662_17596,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian"
388,n03792972_506,n03792972,mountain tent
389,n02009229_57,n02009229,"little blue heron, Egretta caerulea"
390,n03658185_3043,n03658185,"letter opener, paper knife, paperknife"
391,n02790996_8878,n02790996,barbell
392,n03000684_18367,n03000684,"chain saw, chainsaw"
393,n02094258_5874,n02094258,Norwich terrier
394,n04542943_5946,n04542943,waffle iron
395,n02116738_2020,n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"
396,n02134084_5314,n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
397,n03496892_23418,n03496892,"harvester, reaper"
398,n03657121_7280,n03657121,"lens cap, lens cover"
399,n04579432_8593,n04579432,whistle
400,n03372029_41882,n03372029,"flute, transverse flute"
401,n03447447_12247,n03447447,gondola
402,n04277352_5065,n04277352,spindle
403,n01817953_1742,n01817953,"African grey, African gray, Psittacus erithacus"
404,n02095314_996,n02095314,wire-haired fox terrier
405,n01883070_854,n01883070,wombat
406,n02797295_10094,n02797295,"barrow, garden cart, lawn cart, wheelbarrow"
407,n02190166_12263,n02190166,fly
408,n02279972_20084,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
409,n11939491_11047,n11939491,daisy
410,n04149813_5426,n04149813,scoreboard
411,n04346328_22566,n04346328,"stupa, tope"
412,n01774384_10918,n01774384,"black widow, Latrodectus mactans"
413,n02101006_11245,n02101006,Gordon setter
414,n03424325_3808,n03424325,"gasmask, respirator, gas helmet"
415,n01614925_10153,n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus"
416,n04423845_46767,n04423845,thimble
417,n02834397_6852,n02834397,bib
418,n07753275_8895,n07753275,"pineapple, ananas"
419,n03485407_5318,n03485407,"hand-held computer, hand-held microcomputer"
420,n03201208_5864,n03201208,"dining table, board"
421,n04517823_24197,n04517823,"vacuum, vacuum cleaner"
422,n04118538_6462,n04118538,rugby ball
423,n02963159_2713,n02963159,cardigan
424,n01833805_8680,n01833805,hummingbird
425,n04266014_4571,n04266014,space shuttle
426,n02091467_1330,n02091467,"Norwegian elkhound, elkhound"
427,n06359193_36737,n06359193,"web site, website, internet site, site"
428,n03584254_3618,n03584254,iPod
429,n03976657_21842,n03976657,pole
430,n04238763_13259,n04238763,"slide rule, slipstick"
431,n02100735_10125,n02100735,English setter
432,n01860187_9192,n01860187,"black swan, Cygnus atratus"
433,n04482393_19781,n04482393,"tricycle, trike, velocipede"
434,n02129165_17829,n02129165,"lion, king of beasts, Panthera leo"
435,n07730033_9088,n07730033,cardoon
436,n04461696_15613,n04461696,"tow truck, tow car, wrecker"
437,n02013706_12257,n02013706,"limpkin, Aramus pictus"
438,n04023962_13495,n04023962,"punching bag, punch bag, punching ball, punchball"
439,n02123394_3178,n02123394,Persian cat
440,n04501370_11720,n04501370,turnstile
441,n02110341_3386,n02110341,"dalmatian, coach dog, carriage dog"
442,n01980166_2551,n01980166,fiddler crab
443,n03929660_6319,n03929660,"pick, plectrum, plectron"
444,n03384352_15319,n03384352,forklift
445,n04311004_1764,n04311004,steel arch bridge
446,n02105505_1762,n02105505,komondor
447,n03478589_13133,n03478589,half track
448,n03530642_1552,n03530642,honeycomb
449,n02835271_1488,n02835271,"bicycle-built-for-two, tandem bicycle, tandem"
450,n04238763_3949,n04238763,"slide rule, slipstick"
451,n02843684_3963,n02843684,birdhouse
452,n03787032_6217,n03787032,mortarboard
453,n01872401_6217,n01872401,"echidna, spiny anteater, anteater"
454,n03047690_15454,n03047690,"clog, geta, patten, sabot"
455,n02006656_1268,n02006656,spoonbill
456,n02093647_1060,n02093647,Bedlington terrier
457,n04486054_204,n04486054,triumphal arch
458,n02526121_3625,n02526121,eel
459,n02097298_15004,n02097298,"Scotch terrier, Scottish terrier, Scottie"
460,n02687172_10442,n02687172,"aircraft carrier, carrier, flattop, attack aircraft carrier"
461,n01632458_1529,n01632458,"spotted salamander, Ambystoma maculatum"
462,n03207941_14203,n03207941,"dishwasher, dish washer, dishwashing machine"
463,n03930630_19689,n03930630,"pickup, pickup truck"
464,n02013706_2532,n02013706,"limpkin, Aramus pictus"
465,n03884397_16513,n03884397,"panpipe, pandean pipe, syrinx"
466,n01665541_5423,n01665541,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
467,n01632458_1559,n01632458,"spotted salamander, Ambystoma maculatum"
468,n02264363_13132,n02264363,"lacewing, lacewing fly"
469,n02085936_9018,n02085936,"Maltese dog, Maltese terrier, Maltese"
470,n07760859_3257,n07760859,custard apple
471,n04204347_782,n04204347,shopping cart
472,n02802426_5221,n02802426,basketball
473,n02326432_23991,n02326432,hare
474,n02093859_1513,n02093859,Kerry blue terrier
475,n04487081_12690,n04487081,"trolleybus, trolley coach, trackless trolley"
476,n01440764_11816,n01440764,"tench, Tinca tinca"
477,n04209133_1515,n04209133,shower cap
478,n02892201_45277,n02892201,"brass, memorial tablet, plaque"
479,n02108089_398,n02108089,boxer
480,n04273569_2974,n04273569,speedboat
481,n03637318_20526,n03637318,"lampshade, lamp shade"
482,n04554684_33767,n04554684,"washer, automatic washer, washing machine"
483,n03595614_22322,n03595614,"jersey, T-shirt, tee shirt"
484,n03594945_3375,n03594945,"jeep, landrover"
485,n03673027_7481,n03673027,"liner, ocean liner"
486,n03602883_5620,n03602883,joystick
487,n02098105_1627,n02098105,soft-coated wheaten terrier
488,n10565667_2261,n10565667,scuba diver
489,n03530642_23987,n03530642,honeycomb
490,n01986214_6383,n01986214,hermit crab
491,n02097298_4909,n02097298,"Scotch terrier, Scottish terrier, Scottie"
492,n01530575_4482,n01530575,"brambling, Fringilla montifringilla"
493,n04344873_16461,n04344873,"studio couch, day bed"
494,n04243546_1046,n04243546,"slot, one-armed bandit"
495,n13037406_3837,n13037406,gyromitra
496,n09472597_19916,n09472597,volcano
497,n01817953_6919,n01817953,"African grey, African gray, Psittacus erithacus"
498,n03042490_6312,n03042490,cliff dwelling
499,n02328150_18075,n02328150,"Angora, Angora rabbit"
500,n04146614_1544,n04146614,school bus
